,importance,stddev,p_value,n,p99_high,p99_low
rgb1016_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb1016_25%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb405_50%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud3_75%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb339_25%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb375_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb830_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb49_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud100_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb533_25%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud5_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud6_mean,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb135_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud101_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud6_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud6_25%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud6_50%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud42_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb826_mean,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb826_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb257_25%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb375_mean,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb249_25%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb249_mean,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb710_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud89_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
e99,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud89_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
e502,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb210_75%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb677_mean,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb348_25%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud41_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud47_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
e496,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb380_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb348_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb662_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud97_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud103_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb249_50%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb257_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb971_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb242_mean,0.008525149190110826,0.007382995769688308,0.09175170953613696,3,0.05083053367825264,-0.03378023529803099
rgb137_min,0.008525149190110826,0.007382995769688309,0.09175170953613697,3,0.050830533678252646,-0.033780235298030994
rgb562_50%,0.008525149190110826,0.007382995769688309,0.09175170953613697,3,0.050830533678252646,-0.033780235298030994
